"count","mean.area","se.area"
2,0,0
7,558855563789.78,7949924477.03416
9,688865929061.303,8103157004.23977
12,827252644016.228,8578428203.46825
13,858663827048.546,8550669223.18696
24,1137279787317.77,9201717759.61978
29,1217734876267.2,9218494634.77846
45,1411876782998.15,8917987696.88229
46,1422403288152.51,8874804103.95406
52,1482205486892.27,8711356271.01275
53,1490619009491.41,8712385521.65355
55,1505061359156.42,8662032586.64053
57,1518777714061.1,8588109441.47843
61,1543076701696.56,8590499711.23475
62,1549728328813.97,8504795235.32997
64,1564377055117.87,8372725760.44183
168,1932012125718.2,6297556035.55682
171,1936356266020.71,6286218215.09227
173,1939342079935.6,6254282183.89552
177,1945619927340.44,6247257464.21022
191,1972394784738.96,6137964307.99896
195,1979356901271.89,6156829234.11958
202,1989274774483.69,6084827944.36686
205,1994316402164.38,6095317103.22094
210,2003033246705.79,6137528235.51757
224,2022925372129.08,6107045032.60859
262,2076087456921.87,6213000360.98371
282,2098290406482.54,6180852185.96532
295,2113196555217.96,6158438218.96598
328,2152724076584.93,6160996544.65872
344,2169218701319.23,6160408267.72736
347,2172023776840.64,6151679646.58565
350,2175225809574.92,6177437785.6811
355,2182449210652.23,6158570433.22281
363,2189907848928.96,6135825508.09168
400,2229679514548.12,6002663895.44132
415,2244363232173.67,5888916817.27781
437,2261947941344.39,5780042266.3754
462,2284282627468.95,5722871231.55572
464,2284964500164.36,5718219976.2618
471,2291283763069.17,5738974428.57301
472,2291562448118.99,5744949871.86
483,2299782052717.3,5744442025.31392
494,2310437054295.92,5623249570.31973
496,2311766931670.44,5606484757.7536
501,2314867505755.54,5586204309.3616
503,2315313043075.62,5584223281.17753
505,2316208861078.96,5583008865.99572
509,2319070871590.87,5564206336.08258
510,2320064999423.45,5560307018.25408
511,2321919006466.97,5548473119.47186
512,2323074687618.01,5558106923.80315
518,2327235118726.67,5520771495.70442
522,2331202793329.47,5485687207.97207
524,2332230035457.05,5478213792.86659
525,2332654091945.05,5474506394.74081
527,2334048531787.3,5482431091.7706
528,2335320248087.43,5471593597.1594
529,2336187085547.29,5461975095.80919
537,2342134391345.72,5417551801.9927
539,2342967582297.54,5413405581.91934
540,2344086053610.22,5410651774.30434
553,2353134637302.28,5375598550.04614
555,2354280587612.11,5363538488.51885
561,2357451926338.99,5338233231.69674
580,2371249817122.78,5228772581.81716
595,2381443279006.92,5130111386.66247
604,2386565329935.75,5099351723.62659
616,2394351786081.09,5009080907.93482
630,2405809283346.07,4867029543.25897
643,2415888302177.5,4742091752.4073
678,2440203172141.21,4475244643.92686
686,2445562362028.55,4358101512.69777
692,2448994516934.24,4301706268.80747
693,2450100146606.02,4279355880.42035
696,2451670347626.93,4260102522.9468
724,2472266643583.65,3791271923.58313
732,2478848882281.47,3685311023.9407
734,2480156383558.85,3665821306.31753
742,2486496254038.71,3487913589.75748
751,2494807294191.36,3260719881.38885
753,2496911489264.41,3194799080.92849
759,2500666939950.05,3119376787.98161
762,2503811783987.47,3003919146.92194
766,2505573412293.31,2959838285.41801
775,2512948148863.94,2686575878.49901
785,2522178520765.7,2314810950.54737
792,2527021343780.31,2121384413.58788
799,2530029148636.32,1990460056.51305
804,2532190710005.88,1906460006.4591
813,2538376963975.97,1572854721.34465
829,2547588193190.58,699936147.475433
834,2549764951006.24,0
